;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
175;Narvalo;5;3;09-10-2023;France;Canal+;episode05-410629-09102023-saison3-Narvalo.html;None
176;SOKO Potsdam;3;6;09-10-2023;Allemagne;ZDF;episode03-410908-09102023-saison6-SOKO-Potsdam.html;None
177;The Irrational;3;1;09-10-2023;Etats-Unis;NBC;episode03-409679-09102023-saison1-The-Irrational.html;None
178;Un Si Grand Soleil;27;6;09-10-2023;France;France 2;episode27-411043-09102023-saison6-Un-Si-Grand-Soleil.html;None
179;Ví?az;6;1;09-10-2023;Etats-Unis;Showtime;episode06-410697-09102023-saison1-Viaz.html;None
180;Alexandra Ehle;2;4;10-10-2023;France;France 3;episode02-405395-10102023-saison4-Alexandra-Ehle.html;None
181;À coeur battant;5;2;10-10-2023;Canada;Radio Canada;episode05-410930-10102023-saison2-A-coeur-battant.html;None
182;Club Soly;5;3;10-10-2023;Canada;Noovo.ca;episode05-411047-10102023-saison3-Club-Soly.html;None
183;Demain nous appartient;37;7;10-10-2023;France;TF1;episode37-411034-10102023-saison7-Demain-nous-appartient.html;None
184;Found;2;1;10-10-2023;Etats-Unis;NBC;episode02-409591-10102023-saison1-Found.html;None
185;Ici tout commence;32;4;10-10-2023;France;TF1;episode32-411039-10102023-saison4-Ici-tout-commence.html;None
186;4EVER;1;1;11-10-2023;Etats-Unis;Disney+;episode01-411025-11102023-saison1-4EVER.html;None
187;4EVER;2;1;11-10-2023;Etats-Unis;Disney+;episode02-411026-11102023-saison1-4EVER.html;None
188;4EVER;3;1;11-10-2023;Etats-Unis;Disney+;episode03-411027-11102023-saison1-4EVER.html;None
189;4EVER;4;1;11-10-2023;Etats-Unis;Disney+;episode04-411028-11102023-saison1-4EVER.html;None
190;4EVER;5;1;11-10-2023;Etats-Unis;Disney+;episode05-411029-11102023-saison1-4EVER.html;None
191;Aller simple;5;2;11-10-2023;Canada;Noovo.ca;episode05-410650-11102023-saison2-Aller-simple.html;None
192;Aller simple;6;2;11-10-2023;Canada;Noovo.ca;episode06-411054-11102023-saison2-Aller-simple.html;None
193;American Horror Story;4;12;11-10-2023;Etats-Unis;FX;episode04-410339-11102023-saison12-American-Horror-Story.html;None
194;Archer (2009);8;14;11-10-2023;Etats-Unis;FXX;episode08-408905-11102023-saison14-Archer-(2009).html;None
195;Bones of Crows;4;1;11-10-2023;Canada;CBC;episode04-410782-11102023-saison1-Bones-of-Crows.html;None
196;Children Ruin Everything;3;3;11-10-2023;Canada;CTV;episode03-410932-11102023-saison3-Children-Ruin-Everything.html;None
197;Chucky;2;3;11-10-2023;Etats-Unis;Syfy;episode02-409115-11102023-saison3-Chucky.html;None
198;Cooper's Bar;1;2;11-10-2023;Etats-Unis;AMC;episode01-410431-11102023-saison2-Cooper-s-Bar.html;None
199;Cooper's Bar;2;2;11-10-2023;Etats-Unis;AMC;episode02-411062-11102023-saison2-Cooper-s-Bar.html;None
200;Demain nous appartient;38;7;11-10-2023;France;TF1;episode38-411035-11102023-saison7-Demain-nous-appartient.html;None
201;Hans River Police;9;1;11-10-2023;Etats-Unis;Disney+;episode09-409974-11102023-saison1-Hans-River-Police.html;None
202;Hans River Police;10;1;11-10-2023;Etats-Unis;Disney+;episode10-409975-11102023-saison1-Hans-River-Police.html;None
203;Hudson & Rex;2;6;11-10-2023;Canada;Citytv;episode02-410259-11102023-saison6-Hudson--Rex.html;None
204;Ici tout commence;33;4;11-10-2023;France;TF1;episode33-411040-11102023-saison4-Ici-tout-commence.html;None
205;Invasion (2021);8;2;11-10-2023;Etats-Unis;Apple TV+;episode08-407972-11102023-saison2-Invasion-(2021).html;52
206;La Mesias;1;1;11-10-2023;Espagne;Moviestar+;episode01-410340-11102023-saison1-La-Mesias.html;None
207;La Mesias;2;1;11-10-2023;Espagne;Moviestar+;episode02-410544-11102023-saison1-La-Mesias.html;None
208;Magnum P.I. (2018);12;5;11-10-2023;Etats-Unis;NBC;episode12-410783-11102023-saison5-Magnum-PI-(2018).html;None
209;Nada;1;1;11-10-2023;Espagne;Star+;episode01-410264-11102023-saison1-Nada.html;None
210;Nada;2;1;11-10-2023;Espagne;Star+;episode02-411069-11102023-saison1-Nada.html;None
211;Nada;3;1;11-10-2023;Espagne;Star+;episode03-411070-11102023-saison1-Nada.html;None
212;Nada;4;1;11-10-2023;Espagne;Star+;episode04-411071-11102023-saison1-Nada.html;None
213;Nada;5;1;11-10-2023;Espagne;Star+;episode05-411072-11102023-saison1-Nada.html;None
214;Pacto de Silencio;1;1;11-10-2023;Etats-Unis;Netflix;episode01-410272-11102023-saison1-Pacto-de-Silencio.html;None
215;Pacto de Silencio;2;1;11-10-2023;Etats-Unis;Netflix;episode02-411073-11102023-saison1-Pacto-de-Silencio.html;None
216;Pacto de Silencio;3;1;11-10-2023;Etats-Unis;Netflix;episode03-411074-11102023-saison1-Pacto-de-Silencio.html;None
217;Pacto de Silencio;4;1;11-10-2023;Etats-Unis;Netflix;episode04-411075-11102023-saison1-Pacto-de-Silencio.html;None
218;Pacto de Silencio;5;1;11-10-2023;Etats-Unis;Netflix;episode05-411076-11102023-saison1-Pacto-de-Silencio.html;None
219;Pacto de Silencio;6;1;11-10-2023;Etats-Unis;Netflix;episode06-411077-11102023-saison1-Pacto-de-Silencio.html;None
220;Pacto de Silencio;7;1;11-10-2023;Etats-Unis;Netflix;episode07-411078-11102023-saison1-Pacto-de-Silencio.html;None
221;Pacto de Silencio;8;1;11-10-2023;Etats-Unis;Netflix;episode08-411079-11102023-saison1-Pacto-de-Silencio.html;None
222;Pacto de Silencio;9;1;11-10-2023;Etats-Unis;Netflix;episode09-411080-11102023-saison1-Pacto-de-Silencio.html;None
223;Pacto de Silencio;10;1;11-10-2023;Etats-Unis;Netflix;episode10-411081-11102023-saison1-Pacto-de-Silencio.html;None
224;Pacto de Silencio;11;1;11-10-2023;Etats-Unis;Netflix;episode11-411082-11102023-saison1-Pacto-de-Silencio.html;None
